[2022-01-10 01:11:45] [info]  [ 5484] Apache Commons Daemon procrun (1.2.4.0 64-bit) started.
[2022-01-10 01:11:46] [info]  [ 5484] Running Service 'Tomcat8'...
[2022-01-10 01:11:46] [info]  [ 4328] Starting service...
[2022-01-10 01:11:47] [info]  [ 4328] Service started in 1312 milliseconds.
[2022-01-10 02:42:29] [info]  [ 4088] Stopping service...
[2022-01-10 02:42:30] [info]  [ 4088] Service stop thread completed.
[2022-01-10 02:42:30] [info]  [ 5484] Run service finished.
[2022-01-10 02:42:30] [info]  [ 5484] Apache Commons Daemon procrun finished.
[2022-01-10 02:42:31] [info]  [  300] Apache Commons Daemon procrun (1.2.4.0 64-bit) started.
[2022-01-10 02:42:31] [info]  [  300] Running Service 'Tomcat8'...
[2022-01-10 02:42:31] [info]  [ 1480] Starting service...
[2022-01-10 02:42:32] [info]  [ 1480] Service started in 1343 milliseconds.
[2022-01-10 06:52:07] [info]  [ 5884] Stopping service...
[2022-01-10 06:52:08] [info]  [ 5884] Service stop thread completed.
[2022-01-10 06:52:08] [info]  [  300] Run service finished.
[2022-01-10 06:52:08] [info]  [  300] Apache Commons Daemon procrun finished.
[2022-01-10 06:52:08] [info]  [ 5600] Apache Commons Daemon procrun (1.2.4.0 64-bit) started.
[2022-01-10 06:52:08] [info]  [ 5600] Running Service 'Tomcat8'...
[2022-01-10 06:52:08] [info]  [ 4968] Starting service...
[2022-01-10 06:52:09] [info]  [ 4968] Service started in 1303 milliseconds.
[2022-01-10 07:29:56] [info]  [ 1516] Stopping service...
[2022-01-10 07:29:57] [info]  [ 1516] Service stop thread completed.
[2022-01-10 07:29:57] [info]  [ 5600] Run service finished.
[2022-01-10 07:29:57] [info]  [ 5600] Apache Commons Daemon procrun finished.
[2022-01-10 07:29:57] [info]  [ 6812] Apache Commons Daemon procrun (1.2.4.0 64-bit) started.
[2022-01-10 07:29:57] [info]  [ 6812] Running Service 'Tomcat8'...
[2022-01-10 07:29:57] [info]  [ 1512] Starting service...
[2022-01-10 07:29:59] [info]  [ 1512] Service started in 1328 milliseconds.
[2022-01-10 07:30:47] [info]  [ 5544] Stopping service...
[2022-01-10 07:30:48] [info]  [ 5544] Service stop thread completed.
[2022-01-10 07:30:48] [info]  [ 6812] Run service finished.
[2022-01-10 07:30:48] [info]  [ 6812] Apache Commons Daemon procrun finished.
[2022-01-10 07:30:48] [info]  [ 1716] Apache Commons Daemon procrun (1.2.4.0 64-bit) started.
[2022-01-10 07:30:48] [info]  [ 1716] Running Service 'Tomcat8'...
[2022-01-10 07:30:48] [info]  [ 5368] Starting service...
[2022-01-10 07:30:50] [info]  [ 5368] Service started in 1250 milliseconds.
[2022-01-10 07:31:30] [info]  [ 2872] Stopping service...
[2022-01-10 07:31:31] [info]  [ 2872] Service stop thread completed.
[2022-01-10 07:31:31] [info]  [ 1716] Run service finished.
[2022-01-10 07:31:31] [info]  [ 1716] Apache Commons Daemon procrun finished.
[2022-01-10 07:31:32] [info]  [ 1748] Apache Commons Daemon procrun (1.2.4.0 64-bit) started.
[2022-01-10 07:31:32] [info]  [ 1748] Running Service 'Tomcat8'...
[2022-01-10 07:31:32] [info]  [ 2292] Starting service...
[2022-01-10 07:31:33] [info]  [ 2292] Service started in 1313 milliseconds.
[2022-01-10 07:33:59] [info]  [ 1940] Stopping service...
[2022-01-10 07:34:00] [info]  [ 1940] Service stop thread completed.
[2022-01-10 07:34:00] [info]  [ 1748] Run service finished.
[2022-01-10 07:34:00] [info]  [ 1748] Apache Commons Daemon procrun finished.
[2022-01-10 07:34:00] [info]  [ 5404] Apache Commons Daemon procrun (1.2.4.0 64-bit) started.
[2022-01-10 07:34:00] [info]  [ 5404] Running Service 'Tomcat8'...
[2022-01-10 07:34:00] [info]  [ 6916] Starting service...
[2022-01-10 07:34:01] [info]  [ 6916] Service started in 1328 milliseconds.
[2022-01-10 07:35:43] [info]  [ 4852] Stopping service...
[2022-01-10 07:35:44] [info]  [ 4852] Service stop thread completed.
[2022-01-10 07:35:44] [info]  [ 5404] Run service finished.
[2022-01-10 07:35:44] [info]  [ 5404] Apache Commons Daemon procrun finished.
[2022-01-10 07:35:44] [info]  [ 5616] Apache Commons Daemon procrun (1.2.4.0 64-bit) started.
[2022-01-10 07:35:44] [info]  [ 5616] Running Service 'Tomcat8'...
[2022-01-10 07:35:45] [info]  [ 1160] Starting service...
[2022-01-10 07:35:46] [info]  [ 1160] Service started in 1328 milliseconds.
[2022-01-10 10:33:21] [info]  [ 7140] Stopping service...
[2022-01-10 10:33:22] [info]  [ 7140] Service stop thread completed.
[2022-01-10 10:33:22] [info]  [ 5616] Run service finished.
[2022-01-10 10:33:22] [info]  [ 5616] Apache Commons Daemon procrun finished.
[2022-01-10 10:33:22] [info]  [ 6988] Apache Commons Daemon procrun (1.2.4.0 64-bit) started.
[2022-01-10 10:33:22] [info]  [ 6988] Running Service 'Tomcat8'...
[2022-01-10 10:33:22] [info]  [ 6172] Starting service...
[2022-01-10 10:33:23] [info]  [ 6172] Service started in 1312 milliseconds.
[2022-01-11 01:55:29] [info]  [ 5464] Stopping service...
[2022-01-11 01:55:30] [info]  [ 5464] Service stop thread completed.
[2022-01-11 01:55:30] [info]  [ 6988] Run service finished.
[2022-01-11 01:55:30] [info]  [ 6988] Apache Commons Daemon procrun finished.
